delitto;délit;crime;TERM1
Difficile a provarsi;difficile à prouver;of difficult proof;TERM2
provarsi/prova;prouver;prove;TERM3
principio;principe;principle;TERM4
ragione;raison;reason;TERM5
legislatrice;législation;formation of the law;TERM6
natione;état;nations;TERM7
improbabilità;improbable;equivocal;TERM8
congetture;conjecture;conjecture;TERM9
prova;preuve;proof;TERM10
legge;loi;law;TERM11
giudice;magistrat;judge;TERM12
verità;vérité;truth;TERM13
condamnare;condamner;condemn;TERM14
innocente;innocent;innocent;TERM15
innocenza;innocence;innocence;TERM16
reato;crime;/;TERM17
virtù;vertu;virtue;TERM18
governo;gouvernement;government;TERM19
passione;passion;passion;TERM20
bontà (delle leggi);bonté (de leurs lois);goodness of their law;TERM21
forma (di governo);administration établie;form of government;TERM22
pubblico bene;bien public;public good;TERM23
deperimento;dépérissement;destruction;TERM24
frequente;fréquent;frequent;TERM25
società;société;society;TERM26
difficoltà della prova;La preuve est difficile;of difficult proof;TERM27
probabilità (dell’innocenza);probabilité de l’innocence;probability of the innocence;TERM28
danno;danger;danger;TERM29
impunità;impunité;unpunished;TERM30
valutabile;moindre;importance;TERM31
pericolo;/;/;TERM32
esame;instruction;examination;TERM33
tempo della prescrizione;durée de la prescription;time of prescription;TERM34
adulterio;adultère;adultery;TERM35
greca libidine;pédérastie;sodomy;TERM36
presunzione;présomption;presumption;TERM37
presunzione tirannica;tyranniquement les présomptions;/;TERM38
Quasi-prova;conjecture;Half-proofs;TERM39
Semi-prova;Semi-preuves;Half-proofs;TERM40
Sem-innocente;partie innocent;half innocent;TERM41
Semi-reo;partie coupable;half guilty;TERM42
Semi-punibile;à la fois puni;half punishable;TERM43
Semi-assolvibile;à la fois absous;half absolvable;TERM44
tortura;torture;torture;TERM45
accusato;accusé;accused;TERM46
testimone;témoins;witness;TERM47
norma;/;/;TERM48
abuso;abus;abuse;TERM49
umanità/uomo;nature humaine/humanité;human nature/mankind;TERM50
fondatore;établissement;founder;TERM51
origine;/;/;TERM52
distruttore;destruction;destruction;TERM53
bisogno;besoin;necessity;TERM54
naturale;naturel/de la nature;natural;TERM55
inutile;inutile;useless;TERM56
pernicioso;funeste;pernicious;TERM57
fedelta coniugale;fedeltà coniugale;conjugal fidelity;TERM58
libertà (de’ matrimonj);liberté des mariages;/;TERM59
pregiudizio;préjugé;pride;TERM60
ereditario;héréditaire;of families;TERM61
combina;assortir;unite;TERM62
domestica potestà;puissance paternelle;paternal authority;TERM63
galanteria;galanterie;gallantry;TERM64
(morale) volgare;vulgaire moraliste;common moralist;TERM65
perdonare;pardonner;pardon;TERM66
cagione;causes;cause;TERM67
vera religione;vraie religion;true religion;TERM68
motivo;motif;motive;TERM69
legislatore;législateur;law;TERM70
prevenire;prévenir;prevent;TERM71
corregerre;réprimer;punish;TERM72
impunito;impuni;unpunished;TERM73
pena;peine;punishment;TERM74
incentivo;aiguillon;incentive;TERM75
attica venere;pédérastie;sodomy;TERM76
tormento;tortures;torture;TERM77
schiavo;esclave;slave;TERM78
educazione;éducation;education;TERM79
infanticido;infanticide;murder of bastard-children;TERM80
contradizione;situation;dilemma;TERM81
violenza;violence;force;TERM82
debolezza;faiblesse;weakness;TERM83
infamia;infamie;infamy;TERM84
morte;destruction;death;TERM85
male;/;loss of life;TERM86
miseria;misère;misery;TERM87
proteggere;protection;protect;TERM88
efficace (legge);/;effectually;TERM89
tirannia;tyrannie;tyranny;TERM90
vizio;vice;vice;TERM91
orrore;horreur;abhorrence;TERM92
sorgente;source;source;TERM93
in diritto;en droit;/;TERM94
conseguenza;conséquence;conclusion;TERM95
giusta;juste;just;TERM96
necessaria;nécessaire;necessary;TERM97
n.v. (una pena);/;/;TERM98
